ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
4424||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002360|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4425||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002361|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4426||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002362|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4427||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002363|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4428||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002364|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4429||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002365|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4430||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002366|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4431||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002367|FAC|PEN|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4432||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002368|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4433||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002369|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4434||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002370|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4435||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002371|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4436||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002372|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4437||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002373|FAC|PEN|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4438||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002374|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
